iter	Passed	Remaining
0	1	159
1	3	161
2	4	158
3	6	148
4	7	151
5	9	148
6	11	148
7	12	147
8	14	148
9	16	150
10	18	150
11	20	149
12	22	149
13	24	149
14	26	149
15	28	147
16	29	145
17	32	146
18	34	146
19	36	145
20	38	144
21	40	142
22	42	141
23	44	139
24	45	137
25	47	135
26	49	133
27	51	132
28	53	130
29	55	128
30	57	126
31	58	124
32	60	123
33	62	121
34	64	120
35	66	118
36	68	116
37	70	114
38	71	112
39	73	110
40	75	108
41	75	104
42	77	102
43	79	101
44	81	99
45	82	97
46	84	95
47	87	94
48	89	92
49	91	91
50	93	89
51	95	87
52	97	86
53	99	84
54	100	82
55	102	80
56	104	79
57	106	77
58	108	75
59	111	74
60	113	72
61	115	70
62	117	69
63	119	67
64	122	65
65	124	64
66	126	62
67	128	60
68	130	58
69	131	56
70	133	54
71	135	52
72	137	51
73	139	48
74	141	47
75	143	45
76	144	43
77	146	41
78	148	39
79	150	37
80	152	35
81	154	33
82	156	32
83	158	30
84	159	28
85	161	26
86	163	24
87	165	22
88	166	20
89	168	18
90	170	16
91	172	15
92	175	13
93	176	11
94	178	9
95	180	7
96	182	5
97	185	3
98	187	1
99	189	0
