iter	Passed	Remaining
0	145	145521
1	148	73910
2	149	49818
3	151	37754
4	153	30578
5	155	25736
6	157	22306
7	159	19723
8	160	17710
9	162	16083
10	164	14797
11	166	13718
12	168	12784
13	171	12052
14	172	11349
15	174	10750
16	176	10230
17	178	9750
18	180	9316
19	182	8926
20	184	8580
21	185	8261
22	187	7973
23	189	7710
24	191	7465
25	193	7247
26	195	7028
27	197	6849
28	199	6673
29	201	6503
30	203	6346
31	205	6205
32	207	6083
33	210	5970
34	212	5868
35	215	5767
36	217	5653
37	219	5555
38	221	5460
39	223	5365
40	225	5280
41	227	5195
42	229	5117
43	231	5029
44	233	4947
45	235	4873
46	237	4806
47	238	4733
48	240	4671
49	242	4608
50	244	4558
51	246	4497
52	248	4446
53	250	4387
54	252	4336
55	254	4287
56	256	4241
57	258	4195
58	260	4148
59	261	4098
60	263	4055
61	264	4008
62	266	3970
63	268	3928
64	270	3893
65	272	3856
66	274	3825
67	276	3790
68	278	3760
69	280	3726
70	282	3701
71	285	3674
72	287	3648
73	289	3625
74	291	3591
75	292	3561
76	294	3533
77	296	3508
78	298	3481
79	300	3457
80	302	3434
81	304	3412
82	305	3380
83	308	3362
84	310	3340
85	312	3318
86	314	3297
87	316	3278
88	318	3258
89	320	3241
90	322	3222
91	324	3206
92	327	3190
93	329	3175
94	333	3173
95	336	3169
96	339	3162
97	344	3168
98	349	3180
99	352	3168
100	354	3156
101	357	3150
102	359	3133
103	362	3119
104	363	3102
105	365	3085
106	368	3073
107	369	3054
108	371	3040
109	373	3025
110	376	3018
111	378	3001
112	380	2984
113	381	2967
114	383	2951
115	385	2938
116	386	2918
117	388	2901
118	389	2885
119	391	2869
120	393	2856
121	394	2842
122	396	2828
123	398	2815
124	400	2801
125	401	2788
126	403	2773
127	405	2763
128	407	2754
129	409	2743
130	411	2730
131	413	2720
132	415	2708
133	417	2695
134	418	2684
135	421	2675
136	423	2665
137	425	2657
138	427	2645
139	429	2637
140	430	2625
141	432	2612
142	433	2600
143	435	2586
144	437	2576
145	438	2564
146	440	2555
147	441	2544
148	443	2532
149	444	2521
150	446	2509
151	448	2499
152	449	2489
153	451	2479
154	452	2468
155	454	2458
156	456	2450
157	457	2440
158	459	2431
159	461	2421
160	462	2408
161	463	2398
162	465	2389
163	466	2380
164	468	2372
165	470	2363
166	471	2354
167	473	2344
168	475	2335
169	476	2326
170	478	2319
171	479	2310
172	481	2301
173	482	2292
174	484	2283
175	485	2274
176	487	2265
177	488	2256
178	490	2247
179	491	2239
180	493	2231
181	494	2223
182	496	2214
183	497	2205
184	499	2198
185	500	2192
186	502	2183
187	503	2176
188	505	2169
189	507	2162
190	508	2155
191	510	2147
192	512	2141
193	513	2135
194	515	2128
195	517	2121
196	519	2115
197	520	2108
198	521	2101
199	523	2094
200	525	2087
201	526	2081
202	528	2074
203	530	2069
204	531	2062
205	533	2055
206	534	2048
207	535	2040
208	537	2034
209	539	2027
210	540	2021
211	542	2014
212	543	2008
213	544	2001
214	546	1994
215	547	1988
216	549	1983
217	551	1976
218	552	1970
219	553	1963
220	555	1956
221	556	1950
222	558	1944
223	559	1938
224	561	1933
225	562	1927
226	564	1921
227	565	1914
228	566	1908
229	568	1902
230	570	1897
231	571	1893
232	573	1887
233	575	1883
234	576	1877
235	578	1871
236	579	1866
237	581	1860
238	582	1854
239	584	1849
240	585	1844
241	586	1838
242	588	1833
243	590	1828
244	591	1823
245	593	1817
246	594	1812
247	596	1807
248	597	1802
249	598	1796
250	600	1791
251	601	1786
252	603	1780
253	604	1775
254	606	1771
255	607	1766
256	609	1761
257	610	1756
258	612	1751
259	613	1746
260	615	1741
261	616	1737
262	618	1733
263	619	1728
264	621	1723
265	622	1718
266	624	1714
267	625	1709
268	627	1704
269	628	1699
270	629	1694
271	631	1690
272	633	1685
273	634	1680
274	635	1676
275	637	1671
276	638	1666
277	639	1662
278	641	1656
279	642	1652
280	644	1648
281	645	1643
282	647	1640
283	648	1636
284	650	1632
285	651	1627
286	653	1623
287	654	1618
288	656	1614
289	657	1610
290	659	1606
291	660	1602
292	662	1598
293	663	1593
294	665	1589
295	666	1585
296	667	1580
297	669	1576
298	670	1572
299	671	1567
300	673	1563
301	674	1559
302	676	1555
303	677	1551
304	679	1547
305	680	1543
306	681	1539
307	683	1535
308	684	1531
309	686	1527
310	687	1524
311	689	1520
312	690	1516
313	692	1512
314	693	1509
315	695	1505
316	696	1501
317	698	1497
318	699	1493
319	701	1489
320	702	1485
321	703	1481
322	704	1477
323	706	1474
324	707	1470
325	709	1466
326	710	1462
327	712	1458
328	713	1454
329	714	1450
330	716	1447
331	717	1443
332	718	1439
333	720	1436
334	721	1432
335	723	1429
336	724	1425
337	726	1421
338	727	1418
339	728	1414
340	730	1411
341	731	1407
342	733	1404
343	734	1400
344	735	1397
345	737	1394
346	738	1390
347	740	1386
348	741	1383
349	742	1379
350	744	1375
351	745	1371
352	746	1368
353	747	1364
354	749	1361
355	750	1358
356	752	1354
357	753	1351
358	754	1347
359	756	1344
360	757	1341
361	759	1337
362	760	1334
363	761	1331
364	763	1327
365	764	1324
366	766	1321
367	767	1318
368	769	1315
369	770	1311
370	771	1308
371	773	1305
372	774	1302
373	776	1299
374	777	1296
375	779	1293
376	780	1289
377	782	1287
378	783	1284
379	785	1280
380	786	1277
381	787	1274
382	789	1271
383	790	1268
384	792	1265
385	793	1262
386	795	1259
387	796	1257
388	798	1253
389	799	1250
390	801	1248
391	802	1245
392	804	1242
393	805	1239
394	807	1236
395	808	1233
396	810	1230
397	811	1227
398	812	1224
399	814	1221
400	815	1218
401	817	1215
402	818	1212
403	819	1209
404	820	1206
405	822	1202
406	823	1199
407	824	1197
408	826	1194
409	827	1191
410	829	1188
411	830	1185
412	832	1182
413	833	1179
414	835	1177
415	836	1174
416	838	1171
417	839	1168
418	840	1165
419	842	1163
420	843	1160
421	845	1157
422	846	1154
423	848	1152
424	849	1149
425	851	1147
426	852	1144
427	854	1141
428	855	1138
429	857	1136
430	858	1133
431	859	1130
432	861	1127
433	862	1125
434	863	1122
435	865	1119
436	867	1117
437	868	1114
438	870	1111
439	871	1108
440	872	1106
441	874	1103
442	875	1100
443	876	1098
444	878	1095
445	880	1093
446	881	1090
447	882	1087
448	884	1085
449	886	1083
450	887	1080
451	888	1077
452	890	1074
453	891	1072
454	893	1070
455	895	1067
456	896	1064
457	897	1062
458	899	1059
459	900	1057
460	901	1054
461	903	1051
462	904	1049
463	906	1046
464	907	1044
465	909	1041
466	910	1039
467	912	1037
468	913	1034
469	915	1032
470	916	1029
471	918	1027
472	920	1025
473	922	1023
474	923	1020
475	924	1018
476	926	1015
477	927	1013
478	929	1011
479	931	1008
480	932	1006
481	934	1004
482	935	1001
483	937	999
484	938	996
485	940	994
486	942	992
487	943	989
488	944	987
489	946	985
490	948	982
491	950	981
492	951	979
493	953	976
494	954	974
495	956	971
496	958	969
497	960	967
498	961	965
499	963	963
500	965	961
501	966	959
502	968	956
503	969	954
504	971	951
505	972	949
506	973	947
507	975	944
508	977	942
509	978	940
510	980	938
511	981	935
512	983	933
513	984	930
514	986	928
515	987	926
516	988	923
517	990	921
518	991	918
519	993	916
520	994	914
521	995	911
522	996	909
523	998	906
524	999	904
525	1000	901
526	1002	899
527	1003	897
528	1005	894
529	1006	892
530	1008	890
531	1009	887
532	1010	885
533	1012	883
534	1013	880
535	1014	878
536	1015	875
537	1017	873
538	1018	871
539	1019	868
540	1021	866
541	1022	864
542	1024	862
543	1025	859
544	1026	857
545	1028	854
546	1029	852
547	1030	850
548	1032	847
549	1033	845
550	1034	843
551	1036	841
552	1037	838
553	1039	836
554	1040	834
555	1042	832
556	1043	830
557	1045	828
558	1046	825
559	1048	823
560	1049	821
561	1051	819
562	1052	817
563	1054	815
564	1055	812
565	1057	810
566	1058	808
567	1060	806
568	1061	803
569	1062	801
570	1063	799
571	1065	797
572	1066	794
573	1068	792
574	1069	790
575	1070	788
576	1072	786
577	1073	783
578	1074	781
579	1076	779
580	1077	777
581	1079	774
582	1080	772
583	1081	770
584	1083	768
585	1084	766
586	1086	764
587	1087	761
588	1089	759
589	1090	757
590	1092	755
591	1093	753
592	1094	751
593	1095	749
594	1097	746
595	1098	744
596	1099	742
597	1100	740
598	1102	737
599	1103	735
600	1104	733
601	1106	731
602	1107	729
603	1108	727
604	1110	724
605	1111	722
606	1113	720
607	1114	718
608	1116	716
609	1117	714
610	1119	712
611	1121	711
612	1123	709
613	1124	707
614	1127	705
615	1129	703
616	1131	702
617	1133	700
618	1134	698
619	1136	696
620	1138	694
621	1140	692
622	1141	690
623	1143	688
624	1144	686
625	1146	684
626	1148	682
627	1149	680
628	1151	679
629	1152	677
630	1154	675
631	1156	673
632	1157	671
633	1159	669
634	1161	667
635	1162	665
636	1164	663
637	1165	661
638	1166	659
639	1168	657
640	1169	655
641	1171	653
642	1172	651
643	1174	649
644	1176	647
645	1177	645
646	1179	643
647	1191	647
648	1193	645
649	1195	643
650	1197	641
651	1198	639
652	1200	637
653	1202	636
654	1203	634
655	1205	632
656	1207	630
657	1208	628
658	1210	626
659	1211	624
660	1213	622
661	1214	620
662	1216	618
663	1217	616
664	1219	614
665	1221	612
666	1222	610
667	1224	608
668	1225	606
669	1227	604
670	1229	602
671	1230	600
672	1232	598
673	1233	596
674	1235	595
675	1237	593
676	1239	591
677	1240	589
678	1242	587
679	1243	585
680	1245	583
681	1247	581
682	1248	579
683	1250	577
684	1252	575
685	1253	573
686	1255	571
687	1256	569
688	1258	567
689	1259	565
690	1261	564
691	1262	562
692	1264	560
693	1266	558
694	1267	556
695	1269	554
696	1271	552
697	1272	550
698	1274	548
699	1276	546
700	1277	544
701	1279	543
702	1280	541
703	1281	538
704	1283	537
705	1285	535
706	1286	533
707	1288	531
708	1289	529
709	1291	527
710	1293	525
711	1294	523
712	1295	521
713	1297	519
714	1298	517
715	1300	515
716	1301	513
717	1303	512
718	1305	510
719	1306	508
720	1308	506
721	1309	504
722	1311	502
723	1313	500
724	1314	498
725	1316	496
726	1318	495
727	1319	493
728	1321	491
729	1323	489
730	1325	487
731	1327	485
732	1328	484
733	1330	482
734	1332	480
735	1333	478
736	1335	476
737	1336	474
738	1338	472
739	1339	470
740	1341	468
741	1342	466
742	1343	464
743	1345	462
744	1347	461
745	1348	459
746	1349	457
747	1351	455
748	1353	453
749	1354	451
750	1355	449
751	1357	447
752	1358	445
753	1360	443
754	1361	441
755	1363	440
756	1364	438
757	1366	436
758	1367	434
759	1369	432
760	1371	430
761	1372	428
762	1374	426
763	1375	424
764	1377	423
765	1378	421
766	1380	419
767	1382	417
768	1383	415
769	1385	413
770	1387	412
771	1389	410
772	1391	408
773	1394	407
774	1397	405
775	1400	404
776	1402	402
777	1404	400
778	1406	399
779	1408	397
780	1410	395
781	1412	393
782	1413	391
783	1415	389
784	1417	388
785	1419	386
786	1420	384
787	1422	382
788	1423	380
789	1425	378
790	1427	377
791	1428	375
792	1430	373
793	1432	371
794	1434	369
795	1435	367
796	1437	366
797	1438	364
798	1440	362
799	1441	360
800	1443	358
801	1444	356
